DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT18R,DA0912DR18R,DAGC4X18R,DAGC5X17R,DAGC6X16R,DA0GR18N,DA0GS18N,DDA00A001S19R,DDA00A001219R,DDA00A001319R,DDA00AR01S19R,DDA00AR01219R,DDA00AR01319R,DDA00AW01S19R,DDA00AW01219R,DDA00AW01319R,DDA00AM01S19R,DDA00AM01219R,DDA00AM01319R,DDA00AC01S19R,DDA00AC01219R,DDA00AC01319R,DDA00AS01S19R,DDA00AS01219R,DDA00AS01319R,DDB00A001S19R,DDB00A001219R,DDB00A001319R,DDH00A001S19R,DDH00A001219R,DDH00A001319R,DDW00A001S19R,DDW00A001219R,DDW00A001319R,DDI00A001S19R,DDI00A001219R,DDI00A001319R,DD300A001S19R,DD300A001219R,DD300A001319R,DD400A001S19R,DD400A001219R,DD400A001319R,DD200A001S19R,DD200A001219R,DD200A001319R,DDE00A001S19R,DDE00A001219R,DDE00A001319R,DA0CT18R,DA0CC18R,DA0CSA18R,DA0CAA18R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
BELLVILLE ISD,008901,008 AUSTIN,06,B,5,2221,9.3,30,58.1,0.1,0.6,0,1.8,49.5,8.4,9.7,8.3,31.5,11.2,96.6,0.8,97.4,99.4,98.6,152,135,79,49,22,78,50,22,74,44,18,81,49,24,80,49,20,79,44,19,52,17,5,72,39,13,88,59,29,67,33,33,88,88,63,-1,-1,-1,69,49,15,70,35,13,52.6,48.8,1061,23,353.7,163.7,1.4,2.8,7.1,46.3,13.3,29,121234,77353,59199,49451,22.2,6.3,13.6,34.5,13.2,13.4,14.4,2,6.6,90.2,1.2,82.8,7.9,0.6,2.1,5.7,0.9,507101,1.26,25359637,11256,23581536,28.5,62.3,9.2,1778101,5258624,0,24341194,21466640,9528,57.8,6.4,5.6,9.4,20.8,12416608,5511,44.6,11.8,5.5,1.1,4.4,0.4,2.9,2.2,0.3,26.9,"1,600 to 2,999",Independent Town,"$484,748 to < $525,460",$1.1701 to under $1.3050
SEALY ISD,008902,008 AUSTIN,06,C,4,2751,8.3,50.5,37.4,0.1,0.9,0,2.7,59.5,14.8,9.7,13.9,27.6,4.8,95.4,2.0,93.4,98.1,92.5,234,176,75,45,19,71,42,17,62,34,10,80,45,21,78,51,22,86,59,31,58,29,8,70,37,14,84,58,28,90,70,40,94,53,34,.,.,.,82,56,32,66,32,11,73.9,35.3,1025,19.8,364.1,209.3,1.9,3.6,8.2,57.5,10.2,18.6,105915,75022,61361,53863,24.1,7.6,13.1,34.4,11.4,16.9,10.8,5.7,13.9,79.9,0.5,60,16.1,3.4,7.2,5.8,7.5,427648,1.39,32448413,11552,27727402,35.4,54.1,10.5,4721011,4500000,0,60795657,27176459,9675,56.8,6.1,5.4,12,19.7,15431085,5493,44.4,14.8,5.9,0.8,3.9,0.2,3.2,1.5,0,25.2,"1,600 to 2,999",Other Central City Suburban,"$413,609 to < $442,675",$1.3050 to under $1.4272
BRAZOS ISD,008903,008 AUSTIN,06,B,4,825,9.1,52.6,35.6,0,0.4,0,2.3,64.1,15.5,11.2,14.8,27,3.8,96.5,0.0,100,91.4,96.7,55,51,80,50,23,76,46,18,69,40,20,86,54,25,83,50,20,84,62,37,65,34,16,76,43,17,89,63,31,.,.,.,100,100,100,.,.,.,90,67,30,75,43,17,61.8,41.2,1031,17,121.8,62.4,2.5,3.3,4.1,51.2,11.3,27.5,80408,78934,53194,47752,29.2,6.8,13.2,23.8,13.4,19.1,30.4,9.6,7.7,79.4,3.2,77.4,8.8,3.2,0.2,7.7,2.6,323577,1.43,10782352,13394,9634877,53.1,35.2,11.7,1147475,3172290,0,9970787,8518733,10582,51.6,7.9,7.4,11.9,21.1,4399315,5465,35.6,11.2,9.6,2.3,3.9,2.8,4.2,1.1,0,29.2,500 to 999,Rural,"$316,695 to < $329,469",$1.4272 and over
MULESHOE ISD,009901,009 BAILEY,17,B,5,1414,0.6,84.8,13.9,0.1,0.4,0,0.3,86.1,23.3,13.5,23.1,26.7,1.8,95.9,0.0,98.9,100,100,88,76,66,33,12,64,31,9,45,17,4,71,37,16,74,39,9,68,40,22,50,30,20,63,31,10,80,48,21,.,.,.,100,79,50,.,.,.,44,11,0,64,30,10,73.9,20,1097,18.8,223.5,115.6,1.8,3.1,6.2,51.7,17.6,19.6,100550,71786,48944,43179,37.2,6.3,12.2,37.2,12.2,22,25.2,0,19,79.3,1.7,63.6,9.6,14.6,4.5,4.9,2.7,179918,1.35,18141751,12590,17089035,64.2,21.8,14,1052716,5039980,0,17832384,15548501,10790,58.7,6.2,5.1,9.9,20.2,9121362,6330,35.7,12.3,15.5,1.7,4.2,0.1,4.2,1.9,0,24.3,"1,000 to 1,599",Non-metropolitan Stable,"$164,221 to < $208,918",$1.3050 to under $1.4272
MEDINA ISD,010901,010 BANDERA,20,B,1,306,1.3,28.4,67.3,0,0,0,2.9,61.8,1.6,12.1,1.6,30.1,10.5,95.1,1.0,100,90.9,96.6,21,18,78,43,16,78,49,15,62,16,3,77,38,13,89,49,23,81,53,31,60,40,20,72,39,17,80,44,15,.,.,.,.,.,.,.,.,.,80,60,20,76,36,10,57.1,33.3,1083,21.4,72.2,30,4.8,0.8,8.3,41.6,4,40.5,69732,70794,46863,42130,16.5,4.2,10.2,34,13.8,9.6,22.7,0,6.7,90,3.3,68.4,4.7,9.9,0,9.9,7,729590,1.04,4451669,13825,4421903,20.9,71.3,7.8,29766,468710,0,5703884,3892711,12089,50,12.4,6.2,11.9,19.5,1948099,6050,35.8,8.8,10.1,0.3,5.1,0.2,4.3,0.7,0.8,33.9,Under 500,Rural,"$639,298 to < $741,925",Under $1.1701
BANDERA ISD,010902,010 BANDERA,20,B,4,2230,0.4,33.9,62.7,0.2,0.4,0.1,2.5,53.5,4.3,12.5,4.2,33.6,5.3,94.8,1.4,89,93.3,95,147,125,73,42,18,70,44,17,65,31,9,75,38,16,78,48,21,78,51,33,40,20,0,67,35,13,76,46,21,75,13,0,85,69,54,0,0,0,79,50,22,64,33,12,61.9,53.8,1077,21.5,291.5,148.3,1.8,3.1,6.1,50.9,10.8,27.4,104710,77348,59545,51079,16.7,7.7,15,27.5,13.1,29.5,18.1,2,11.5,86.5,0,76.4,7.3,7.1,0,4.9,4.2,636724,1.17,23252477,10207,21206495,9.9,78.3,11.8,2045982,6205976,0,22786255,20151462,8846,51.4,6.1,5.7,11.7,25.1,10361249,4548,37.1,12.1,10,0.2,4.6,0.3,3.8,2.1,0.4,29.6,"1,600 to 2,999",Major Suburban,"$606,813 to < $639,298",Under $1.1701
BASTROP ISD,011901,011 BASTROP,13,B,14,11043,3.7,67.4,25.3,0.2,0.4,0.1,2.9,70.5,27.8,10.9,26.9,25.6,6.3,94.7,0.3,96,96.6,95.1,780,612,66,37,15,61,34,12,50,22,5,71,39,18,75,44,17,68,44,25,58,28,10,61,31,12,78,53,25,66,40,20,90,72,43,83,50,8,73,45,21,60,30,11,48.7,43.7,1042,20.6,1158.5,697.6,1.2,3.2,11.3,60.2,15.8,8.2,114009,79090,56854,50354,34.1,9.5,15.8,40.4,11.3,21.4,24.1,4.9,22,70.4,2.7,51.9,14.3,9.1,10,4.5,10.2,307116,1.441,115772302,10657,99668722,47.9,41.5,10.6,16103580,12912040,0,112367617,99529992,9162,59,4.3,5,9.6,22.1,58714301,5405,44.4,15.7,6.7,1.6,2.5,0.5,1.6,0.9,0.7,25.4,"10,000 to 24,999",Independent Town,"$299,260 to < $316,695",$1.4272 and over
ELGIN ISD,011902,011 BASTROP,13,B,7,4438,11.1,68.3,17.7,0.1,0.4,0.1,2.3,77.3,31.1,10.3,33.9,33.5,8.5,94.7,1.8,92.6,95.2,98.4,316,302,62,31,10,61,32,9,54,20,6,61,27,9,68,34,10,70,42,17,52,22,5,60,28,8,76,49,21,75,33,0,62,10,0,30,0,0,71,26,9,58,26,7,93,19.7,922,19.6,628.4,286.8,2,2.7,11.8,45.6,10.1,27.9,104528,73879,61304,50439,46.8,7.1,15.5,54.4,7.9,20.2,29.4,9,24.1,65.5,1.4,61.7,10.4,4.6,16.8,5.4,1,252212,1.54,59784850,13881,48443307,48.6,36.9,14.5,11341543,13525962,0,55219846,46429529,10780,50.6,9.1,5.1,14,21.3,23474621,5450,40.3,10.4,8.5,1,3.4,0.5,2.5,1.6,2,29.9,"3,000 to 4,999",Non-metropolitan Stable,"$250,173 to < $272,534",$1.4272 and over
SMITHVILLE ISD,011904,011 BASTROP,13,B,4,1800,7.2,31.9,55.7,0.2,0.8,0,4.2,58.9,7.1,10.7,7,24.6,7.3,95.3,0.3,95,96.9,97.8,122,90,75,45,19,74,47,18,61,37,14,78,44,18,82,44,20,78,49,26,60,24,6,69,38,15,82,52,23,20,0,0,89,84,47,.,.,.,72,37,12,67,36,14,60.7,33.8,1040,19.6,261.2,136.6,1.9,3.2,6.9,52.3,12.6,23.1,96494,71865,56528,47593,16.7,6.9,13.2,40.3,10.8,19.7,22.7,4.9,7.3,85.6,2.2,71.8,15.8,3.7,0.9,4,3.8,425913,1.39,20502066,11512,18709072,35.2,53.6,11.2,1792994,5753530,0,30230862,18202342,10220,53.1,7.9,5.7,12,21.4,9668901,5429,41.6,12.9,6.8,0.4,2.9,0.2,3.4,1.8,1.2,28.9,"1,600 to 2,999",Non-metropolitan Stable,"$413,609 to < $442,675",$1.3050 to under $1.4272
MCDADE ISD,011905,011 BASTROP,13,B,2,382,1.3,47.1,50.8,0,0,0,0.8,61,15.7,9.4,15.7,16.5,8.1,96.1,0.0,.,.,.,.,.,79,47,21,83,52,22,65,40,15,78,44,21,87,47,21,69,46,28,-1,-1,-1,74,33,9,84,62,34,.,.,.,.,.,.,.,.,.,100,75,25,75,38,14,.,.,.,.,63.5,37.4,1.6,1.6,2.7,58.8,12.7,22.7,94000,70000,48040,42631,23.3,6,10.2,53.7,8.0,13.4,24.8,2.7,7.2,86.7,3.4,84.5,4,0,0,11.5,0,261799,1.105,4435484,13690,3634178,59.4,30.5,10.1,801306,951078,0,4452114,3796166,11717,53.5,13.5,6.5,11.1,15.5,2031187,6269,34.5,8.8,8.8,2.6,2.1,0.5,1,0.3,5.1,36.4,Under 500,Non-metropolitan Fast Growing,"$250,173 to < $272,534",Under $1.1701
SEYMOUR ISD,012901,012 BAYLOR,09,A,3,582,1.4,19.4,74.1,0,0.3,0,4.8,58.1,0.2,12.7,0.2,25.9,3.1,96,1.7,97.3,97.9,100,36,34,88,59,28,90,61,29,76,45,15,94,65,33,82,50,18,80,57,35,50,20,0,86,55,27,89,63,30,.,.,.,-1,-1,-1,.,.,.,86,27,12,84,51,23,75,29.6,1088,21.2,96.5,49.6,1.7,2.7,6.9,51.4,12,25.3,90000,62509,65589,47050,8.1,6,11.7,21.8,14.8,10.2,18.8,0.9,1.9,97.2,0,83.5,4.5,1.9,0,10,0,327294,1.12,8093845,14027,7454060,54.5,38.4,7.1,639785,4269272,0,13014245,6923722,12000,52.6,8.2,6.4,10,22.8,3639522,6308,38.9,3.9,16.9,0,5.9,0.2,5,0.6,0,28.6,500 to 999,Rural,"$316,695 to < $329,469",Under $1.1701
ST MARY'S ACADEMY CHARTER SCHOOL,013801,013 BEE,02,B,1,430,1.6,79.3,14.7,0,2.3,0,2.1,82.6,1.6,8.1,1.6,0,4,96.4,.,.,.,.,.,.,85,45,17,89,53,24,70,30,5,91,48,17,63,26,7,.,.,.,75,58,25,84,40,14,89,63,33,.,.,.,82,47,6,.,.,.,100,80,20,84,43,15,.,.,.,.,74.7,27.8,2.3,2.3,9.6,37.2,21,27.7,77877,55757,59879,48683,58.4,5.8,15.5,17.9,15.1,10,0,0,29.9,66.6,3.5,80.8,3.5,13.5,1,0,1.2,0,0,4692747,10269,4692747,84.5,3.6,12,0,0,342189,4525176,4462252,9764,51.3,15.5,4.5,13.6,15.2,2286777,5004,46.7,5.2,12.7,0.3,0,0.3,0,0,0,34.8,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,013901,013 BEE,02,C,7,3305,2.8,83.5,12.5,0,0.3,0.1,0.9,84.5,2.4,10.2,1.9,31.4,4,92.8,1.6,92,91.4,94.2,229,196,68,36,13,64,34,10,66,35,9,72,35,16,66,33,10,75,47,25,71,46,16,66,33,12,75,48,19,.,.,.,63,26,21,-1,-1,-1,76,57,33,65,32,11,50.2,17.4,921,18.5,447.7,201.9,1.1,3.1,7.9,45.1,12.4,30.4,106949,81625,64309,50784,67.4,7.4,16.4,44,11.0,21.1,22.7,2,47.1,48.9,2,85.6,6.7,0,0,7.3,0.5,237092,1.205,34412001,10456,33631395,54.5,32.6,12.9,780606,10166399,0,35644474,31425153,9549,52.8,8.7,6,11.3,21.2,16598995,5044,39,12,12.9,0.5,3.2,0.3,2.6,0,1.9,27.6,"3,000 to 4,999",Independent Town,"$208,918 to < $250,173",$1.1701 to under $1.3050
PAWNEE ISD,013902,013 BEE,02,B,1,318,1.3,78,19.2,0,0.6,0,0.9,84.9,1.9,4.7,1.9,0,1.3,96.7,.,.,.,.,.,.,85,46,21,79,46,19,81,41,19,96,51,27,79,42,16,67,17,0,.,.,.,83,41,16,95,67,44,.,.,.,.,.,.,.,.,.,78,22,0,82,35,11,.,.,.,.,51.3,19.8,3.9,3.9,3.2,38.6,41.4,9,81550,84220,75040,46515,34.6,6.2,16.1,65.7,5.8,10.1,32.9,0,20.2,79.8,0,52.7,2.9,44.4,0,0,0,1089639,1.272,4186316,13954,3429344,11.4,83.4,5.2,756972,2630052,0,3766987,2990629,9969,60.7,10.8,4.2,9.4,15.1,1813761,6046,25.2,7.3,1.5,0,0,0.1,1,0,35.2,29.6,Under 500,Non-metropolitan Fast Growing,"$786,525 and over",$1.1701 to under $1.3050
PETTUS ISD,013903,013 BEE,02,D,2,417,0.7,66.9,31.2,0.5,0,0,0.7,74.8,0.5,10.6,0.5,45.1,4.1,95.5,3.6,74.4,87.1,87.1,34,27,76,35,11,73,38,12,67,28,2,80,37,11,82,28,8,70,38,12,50,33,0,73,31,9,84,46,15,-1,-1,-1,.,.,.,.,.,.,60,40,0,73,31,9,58.8,15,965,19.4,82.2,40.5,0.7,5.9,25,49.2,13.7,5.5,158585,65973,35386,49770,52.3,5.1,10.3,34.3,11.2,10.2,7.7,0,31.1,68.9,0,84.3,7.5,0,0,8.2,0,1280322,1.385,6946221,16192,5083869,5.6,82.8,11.6,1862352,2194618,0,21337910,5958605,13890,48.4,8,6.6,15.8,21.3,2881294,6716,37.3,10.1,7.3,0,5.6,0.1,6.4,0,1.5,31.6,Under 500,Rural,"$786,525 and over",$1.3050 to under $1.4272
SKIDMORE-TYNAN ISD,013905,013 BEE,02,A,3,826,1.2,68.5,28,0.5,0.6,0.2,1,64.5,1.7,10.7,1.7,34.3,7.4,95,1.4,100,96.7,93.5,64,64,82,50,20,83,53,22,69,44,11,85,47,19,85,49,19,79,50,24,79,47,32,78,44,16,91,65,30,87,53,20,100,80,40,-1,-1,-1,-1,-1,-1,77,41,15,57.8,40.5,1124,22,120.9,64,3.3,2.5,5,52.9,11.6,24.7,83207,75449,56426,46971,58.4,6.8,12.9,31.3,12.8,18.7,24,3.1,45.3,50,1.6,82.7,6.5,1.6,0,9.3,0,178324,1.519,10037010,12049,9099679,69.9,21.7,8.4,937331,1322994,0,9610425,8421059,10109,52.5,6.4,4.5,12.8,23.8,4416483,5302,39.8,10.4,8.4,0.2,4.3,0.9,6.1,0,0,29.8,500 to 999,Rural,"$164,221 to < $208,918",$1.4272 and over
RICHARD MILBURN ALTER HIGH SCHOOL,014801,014 BELL,20,C,9,1949,13.9,62.8,21.2,0.3,0.4,0.2,1.3,68.3,5.6,10.5,5.4,43.4,0,81.8,22.0,27.9,43,47.1,548,322,41,10,1,32,10,0,.,.,.,33,2,0,52,8,2,66,21,5,33,6,1,41,9,1,48,19,2,-1,-1,-1,57,0,0,-1,-1,-1,34,13,0,42,11,1,8.9,8.2,904,18.3,160.2,64.3,2.7,7.2,17,40.1,16,16.9,85891,76887,60323,51172,43.4,12.2,30.3,49.7,9.4,29.6,55.5,12.5,18.9,65.6,3,78.4,10.2,0.8,0,10.6,0,0,0,19681042,8853,19361042,92.7,1.4,5.9,320000,0,263038,17667108,17470726,7859,41.4,10.8,15.4,15.1,17.3,7225192,3250,44.1,7.5,10.7,0.3,4.5,0,0,3.1,0,29.9,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
PRIORITY CHARTER SCHOOLS,014803,014 BELL,12,B,4,789,17.6,26.6,45.5,0.5,3.4,0.6,5.7,57.7,5.1,12.3,4.6,25.5,2.2,95.1,0.0,91.2,85.7,100,33,25,70,37,15,67,38,15,64,30,10,78,44,19,66,24,4,62,20,11,57,25,12,67,28,9,76,45,18,60,60,60,59,29,18,63,13,0,75,42,19,68,34,14,48.5,43.8,1115,19.6,119,66.7,3.4,4.3,1.6,56,10.9,23.8,86106,52593,71025,42460,29.7,6.6,11.8,48.5,8.0,30.8,44.8,10.6,12,72.2,5.2,79.2,7.9,7.5,0,5.4,0,0,0,8668806,9030,8668806,89.8,2.4,7.9,0,0,353177,9222289,9084953,9463,52.9,8.9,8.3,14.5,15.4,4808620,5009,47.7,7.3,7.7,0.2,2,0.3,0.2,0.4,3.1,31.2,500 to 999,Charters,Non-taxing entities,Non-taxing entities
ORENDA CHARTER SCHOOL,014804,014 BELL,12,B,5,1719,3.8,21.6,65.9,0.2,3.5,0.1,4.9,15.4,1.3,9.6,0.8,5.4,0,95.9,0.8,85.7,94.7,96.1,96,92,90,65,36,91,67,38,77,50,22,90,63,31,90,71,45,97,74,45,93,56,33,87,58,25,89,66,38,100,80,40,96,83,52,-1,-1,-1,97,79,42,73,38,17,77.1,63.5,1146,22.5,160.5,102,3.1,5,7.1,63.6,10.3,10.9,87371,66397,54982,49057,18.9,10.7,16.9,38.9,9.7,20.2,21.5,3.9,9.8,83.3,2.9,88.8,8.5,1.9,0,0.8,0,0,0,15030276,9060,15030276,91.9,4.5,3.6,0,0,1542032,14099149,11946895,7201,56.2,10,7.3,14.4,12.1,6712185,4046,51.4,13,5.2,0,0,0,2.4,1.1,0,26.9,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
ACADEMY ISD,014901,014 BELL,12,B,4,1641,6.2,21.4,66.7,0.8,0.9,0.4,3.5,44.5,4.9,9.1,4.6,23.9,7.9,95.8,0.6,99,94.9,96.3,101,88,83,54,24,80,52,23,70,42,12,87,54,26,90,64,28,87,61,33,72,34,9,78,45,16,86,59,28,82,52,12,100,75,61,67,42,0,73,39,17,77,44,15,61.4,48.4,1125,23.1,214.3,113.6,0.9,3,3.2,53,15.7,24.2,114769,78943,59301,48075,12.4,7.7,14.4,34.3,13.4,6.7,21,0.9,2.6,96.5,0,87.5,6.1,0.9,0.1,5.4,0,224944,1.353,15549666,10006,13771589,56.9,36.1,7,1778077,3564553,0,15227936,13220742,8508,56.4,4.4,6.8,11.4,21,7458195,4799,47.6,9.1,7.8,0.2,4.6,0.6,3.8,1.5,0.1,24.8,"1,600 to 2,999",Non-metropolitan Fast Growing,"$208,918 to < $250,173",$1.3050 to under $1.4272
BARTLETT ISD,014902,014 BELL,13,C,1,342,11.7,65.8,19.6,0.3,0,0,2.6,83.9,16.1,8.8,16.1,20.5,0.9,95.5,0.0,96,100,90.5,24,22,68,31,10,70,34,11,69,29,7,67,28,7,64,22,7,74,50,26,65,35,14,63,24,6,86,49,20,-1,-1,-1,.,.,.,.,.,.,67,56,0,65,28,8,75,5.6,909,.,58.4,25.5,1.7,9.7,4.9,43.6,20.4,19.7,107000,67690,53300,44243,35.6,5.9,13.4,39.3,9.9,24.9,43.2,0,11.8,88.2,0,90,1.5,0,0,8.5,0,313024,1.155,4341267,12694,4182244,50.9,31.4,17.7,159023,61197,0,4820821,4516637,13207,46.6,10.1,6.8,11.7,24.8,2103433,6150,32.1,3.9,17,0.4,3.2,0.4,6.5,1.1,0,35.3,Under 500,Rural,"$299,260 to < $316,695",Under $1.1701
BELTON ISD,014903,014 BELL,12,B,15,11861,6.7,33.6,52.5,0.5,2,0.4,4.4,45.5,6.4,12.6,6.2,23,9.4,95.6,0.4,96.6,98.5,98.9,798,725,80,53,26,77,51,23,69,38,14,83,53,28,88,63,31,82,57,35,68,37,15,74,42,17,85,60,32,82,60,32,97,80,55,92,54,19,80,55,29,70,38,15,53.6,52.6,1096,22,1589.2,750.1,1.2,2.8,8.9,47.2,9.8,30.1,100501,73591,61369,51469,27.1,7.5,15.8,29.5,11.2,22.4,15.9,2.7,11.3,83.6,2.3,79,8,6.4,1.3,3.9,1.4,232837,1.603,124802781,10864,108311930,54,35.4,10.6,16490851,29252090,0,143030580,101528712,8838,54,6.3,5.8,10.2,23.7,54870178,4776,44.8,12.5,5.6,0.6,3.4,2,3.6,1.1,1.3,25.2,"10,000 to 24,999",Other Central City Suburban,"$208,918 to < $250,173",$1.4272 and over
HOLLAND ISD,014905,014 BELL,12,A,3,656,3,27.9,66,0.3,0,0,2.7,48.9,2.9,8.5,2.9,36.1,6.6,96.7,0.0,100,100,100,57,51,88,62,28,88,62,24,71,33,9,91,62,34,93,77,35,91,64,36,80,24,4,88,57,26,89,66,31,-1,-1,-1,.,.,.,.,.,.,76,44,8,87,57,24,70.2,30,1052,21,114.4,58.3,9,0,3.6,51,9.4,27,67787,.,57774,46955,16.8,5.7,11.2,22.6,16.0,12.2,8.1,0,6.6,93.4,0,80.8,5.8,3.8,0,9.3,0.2,159571,1.435,9358896,14010,8776726,54.2,27.9,17.9,582170,2282062,0,10416895,7900489,11827,49.8,9,7.8,9.1,24.3,3931187,5885,35,18.5,9.6,0.1,6,0.4,3.3,1,1,25,500 to 999,Rural,"$123,158 to < $164,221",$1.4272 and over
KILLEEN ISD,014906,014 BELL,12,B,54,44919,35,30.5,21.7,0.6,2.4,2.1,7.7,61.6,10.5,12.5,9.5,18.6,3.2,94.3,1.8,88.1,91.4,92.9,2241,1861,74,44,18,71,42,15,61,29,8,79,48,23,76,45,17,77,50,29,68,35,12,75,44,18,81,55,26,75,42,15,89,67,38,77,47,20,79,51,23,69,37,14,55.9,34.7,1022,19.4,6331.1,2941.7,0.5,3.3,9.6,46.5,13.5,26.7,97035,74768,62764,52452,50.7,7.1,15.3,47.1,9.4,28.4,16.8,19.8,16,57.8,6.5,75.2,8.8,2.4,4.3,3.1,6.2,160150,1.11,433525267,9801,423101656,57.6,20,22.4,10423611,115125757,0,429737673,408846760,9243,59.1,4.6,5.9,8.3,22.1,241435714,5458,49.5,12.6,7.5,0.5,2,0.2,1.7,0.7,4.1,21.2,"25,000 to 49,999",Other Central City,"$123,158 to < $164,221",Under $1.1701
ROGERS ISD,014907,014 BELL,12,A,4,867,1.4,31.4,64.6,0.5,0.6,0,1.6,51.7,4.8,8.2,4.6,31,8.8,96.6,0.0,100,100,98.7,96,85,81,54,24,80,52,21,66,36,15,81,51,24,92,70,35,82,58,26,64,28,8,75,43,15,84,59,29,100,67,17,100,100,14,.,.,.,91,82,55,74,44,16,47.9,47.8,1068,21.5,118.1,64.5,3.4,3.4,8.5,54.6,13.1,17,63102,75077,53294,45087,12.2,7.3,13.4,26.2,13.5,13.8,22.7,0,4.6,93.9,1.5,81.9,5.5,4.3,0.3,6,2,193593,1.342,9492721,10630,8550764,66.4,27.4,6.2,941957,1345020,0,9674474,8509638,9529,51.7,6.3,6,14,22,4402465,4930,45.3,8.1,4.8,0.2,3.8,0.3,5.8,1.1,0.4,30.2,500 to 999,Rural,"$164,221 to < $208,918",$1.3050 to under $1.4272
SALADO ISD,014908,014 BELL,12,B,4,1948,1.3,22,71.9,0.3,0.6,0.1,3.9,27.5,5,6.6,5,25.7,7,96.1,0.2,100,100,99.1,116,109,84,56,25,82,58,25,75,46,14,87,54,25,89,65,32,83,48,26,81,58,19,74,38,13,86,61,28,-1,-1,-1,100,82,53,38,13,0,88,55,19,71,33,11,86.2,58,1109,21.3,227.4,126.5,1.3,3.1,4.3,55.6,11.7,24,117068,75418,59590,49188,14,8.6,15.4,27.5,13.1,17,14.8,0,8.4,90.8,0.8,68.9,6.3,3.2,1.9,4,15.7,390620,1.224,17702469,9507,16163937,36.6,60.5,2.8,1538532,4425686,0,18189479,15362675,8251,54.7,6.2,5.5,11.2,22.5,8396222,4509,45.4,6.8,5.7,0.4,4.4,0.2,7.8,2.2,1,26.2,"1,600 to 2,999",Other Central City Suburban,"$378,489 to < $413,609",$1.1701 to under $1.3050
TEMPLE ISD,014909,014 BELL,12,B,15,8698,26.7,45,22.5,0.3,1.6,0.2,3.7,72,12.1,11.8,12.1,24.8,6.5,93.9,1.7,89.1,91,89.1,485,334,69,38,15,64,35,13,55,27,7,73,41,19,77,44,16,74,43,21,58,26,9,68,36,14,79,52,24,80,56,22,91,74,46,94,76,39,77,45,19,64,33,12,49.1,23.5,985,19.1,1158.2,608.8,1.6,3.4,11,52.6,11.9,19.5,86604,73867,56806,49181,30.5,7.5,14.3,42,9.6,27.1,21.3,10.3,10.5,76.6,2.6,76.8,8.3,3.8,3.1,4.5,3.4,341768,1.4,106926237,12446,95816031,38.9,48.1,13,11110206,17040640,0,138950682,82161124,9564,57.4,6.7,5.9,10.5,19.6,47127504,5486,46.2,12.3,9.7,0.4,3.1,0.4,2.5,0.7,1.4,23.4,"5,000 to 9,999",Other Central City Suburban,"$329,469 to < $355,684",$1.3050 to under $1.4272
TROY ISD,014910,014 BELL,12,A,4,1539,1.8,27.5,66.7,0.3,0.3,0,3.4,51.2,3.6,13.1,3.6,27.7,5.7,96.3,0.0,100,100,98.1,85,66,81,53,21,79,48,18,68,38,12,85,56,23,88,68,29,84,55,25,57,37,9,79,47,14,84,56,25,100,44,11,100,100,29,.,.,.,72,51,15,75,45,15,54.1,30.4,1025,20,207.7,104,1.6,3.7,5.2,50.1,16.3,23.1,102136,75847,66266,47720,10.4,7.4,14.8,23.2,11.8,13.1,20.1,0,3.9,95.1,1,84.9,6.9,2.6,0.2,4.5,0.9,201032,1.29,15150382,9915,13792360,62.8,31.2,6,1358022,4338408,0,15671473,14135650,9251,53.8,5.4,5.6,13.2,22,7607144,4978,42.9,10.6,6.9,0.2,4,0.5,3.3,0.9,1.3,29.4,"1,000 to 1,599",Non-metropolitan Stable,"$164,221 to < $208,918",$1.1701 to under $1.3050
