DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT19R,DA0912DR19R,DAGC4X19R,DAGC5X18R,DAGC6X17R,DA0GR19N,DA0GS19N,DDA00A001S20R,DDA00A001220R,DDA00A001320R,DDA00AR01S20R,DDA00AR01220R,DDA00AR01320R,DDA00AW01S20R,DDA00AW01220R,DDA00AW01320R,DDA00AM01S20R,DDA00AM01220R,DDA00AM01320R,DDA00AC01S20R,DDA00AC01220R,DDA00AC01320R,DDA00AS01S20R,DDA00AS01220R,DDA00AS01320R,DDB00A001S20R,DDB00A001220R,DDB00A001320R,DDH00A001S20R,DDH00A001220R,DDH00A001320R,DDW00A001S20R,DDW00A001220R,DDW00A001320R,DDI00A001S20R,DDI00A001220R,DDI00A001320R,DD300A001S20R,DD300A001220R,DD300A001320R,DD400A001S20R,DD400A001220R,DD400A001320R,DD200A001S20R,DD200A001220R,DD200A001320R,DDE00A001S20R,DDE00A001220R,DDE00A001320R,DA0CT19R,DA0CC19R,DA0CSA19R,DA0CAA19R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
CHARLOTTE ISD,007901,007 ATASCOSA,20,Not Rated: Declared State of Disaster,3,452,0,87.6,12.2,0,0.2,0,0,71.5,5.5,14.2,5.3,36.3,5.3,95.9,0.0,100,100,100,39,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,41,18.8,968,17.2,84.9,43.8,2.4,3.4,3.1,51.6,10.6,28.9,108500,77847,62559,54246,71.9,5.3,10.3,33.1,11.4,21.6,30.8,0,60.7,39.3,0,0,0,0,88.6,0,3.4,0,7.9,0,535430,1.319,7527640,16050,6777215,33.3,54.9,11.8,750425,2248025,0,7492092,6451488,13756,52.9,10.8,6.1,12.1,18.1,3410008,7271,37.5,8.3,13.5,0.8,3.2,0.2,2.7,0.6,1,32.2,Under 500,Rural,"$530,196 to < $559,445",$1.3141 to under $1.4301
JOURDANTON ISD,007902,007 ATASCOSA,20,Not Rated: Declared State of Disaster,5,1606,0.6,61.8,35.9,0.2,0.2,0,1.3,51.8,3.1,12.5,3,26.2,3.8,95.7,0.9,94.2,97.8,96.4,108,67,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55.6,35,1040,20.3,215.5,116.5,1.9,3.5,2.8,54.1,11.1,26.7,99399,84273,75558,55110,40.6,7.5,13.8,20.6,14.1,26.1,18,0,24,73.4,0,0.9,0,1.7,80.9,7.3,3.2,0.9,6.1,1.7,494623,1.501,19794067,12325,16949165,25.1,64.6,10.3,2844902,5524051,0,19530449,15669536,9757,55.5,6.7,6.2,12.1,19.5,8688135,5410,43.8,10.2,5.8,0.3,4.3,0.4,5.2,1.3,1.8,26.9,"1,600 to 2,999",Non-metropolitan Stable,"$483,611 to < $530,196",$1.4301 and over
LYTLE ISD,007904,007 ATASCOSA,20,Not Rated: Declared State of Disaster,6,1779,0.7,82.1,16.1,0.1,0.2,0.2,0.6,74.7,13.8,9.2,12.8,29.5,2.8,94.3,1.2,90.8,93.8,94.2,109,89,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.4,25,984,19.5,274.6,123.6,2.4,3.1,6.2,45,8.5,34.8,92506,76017,63969,55528,60.2,6.5,14.4,31.2,11.4,22.7,17.3,1.6,40.5,56.3,0,0,0.8,0.8,71.6,8.6,7.3,0.1,9.9,2.6,168957,1.372,19456075,11285,18039033,62.9,24,13.1,1417042,5089725,0,18878163,16842567,9769,51.1,7.5,6.1,11.3,24,8613343,4996,39.6,8.7,10.6,0.7,5.2,0.2,4,1.5,3.2,26.4,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.3141 to under $1.4301
PLEASANTON ISD,007905,007 ATASCOSA,20,Not Rated: Declared State of Disaster,6,3560,0.6,69.3,28.2,0.2,0.5,0.1,1.2,64.9,3.8,12.7,3.7,29,4,94.4,0.5,93.4,96.6,95.4,240,224,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55.8,29.9,1007,20,490.2,237.6,1,2.4,7.4,48.5,13.9,26.8,116132,76273,63392,54572,50.6,7.3,15,32,11.8,25.6,17,1.3,31.6,65.5,0,0,0,1.7,79.8,13.4,2.1,0,4.3,0.5,474166,1.467,44272800,12454,38760827,24.4,59.9,15.8,5511973,16572571,0,43192116,33849355,9522,52.7,7.4,5.4,12.9,21.6,17837015,5017,37.5,16.3,7.3,0.4,4.2,0.3,2.8,1,2.2,28.2,"3,000 to 4,999",Independent Town,"$472,586 to < $483,611",$1.4301 and over
POTEET ISD,007906,007 ATASCOSA,20,Not Rated: Declared State of Disaster,4,1638,0.5,86.6,12.3,0,0.1,0.1,0.4,75.6,6.2,9.8,8.8,33.8,4.5,93.5,1.2,93.6,96.7,92.4,118,99,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.4,14.3,964,17.3,250.6,120.7,2,2.8,8.8,48.2,10.4,27.8,85235,75738,57199,51775,68.6,6.5,13.6,38.8,10.8,19.1,22.8,0,57.2,42.8,0,0,0,0,81.2,7.5,2.8,0,8.5,0,151514,1.47,21782046,12851,19700087,62.7,23.7,13.6,2081959,6817972,0,17996087,15923027,9394,55.6,8,5.8,11.1,19.4,8853816,5223,38.3,10.7,11.3,1.2,4.5,0.3,2.9,1,1.5,28.4,"1,600 to 2,999",Non-metropolitan Stable,"$131,514 to < $178,741",$1.4301 and over
BELLVILLE ISD,008901,008 AUSTIN,06,Not Rated: Declared State of Disaster,5,2194,8.2,30.9,58.2,0.2,0.5,0,1.8,44.8,8.9,12.4,8.8,36.3,11.5,96.4,0.1,98.3,97.4,99.4,170,150,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,56.5,60.4,1114,23,343.5,170.8,1.5,2.9,6.9,49.7,11.5,27.6,114938,81721,58517,51773,20.4,6.4,12.8,27.7,13.7,15.1,12.3,1.9,4.7,92.8,0,0,0,0.6,76.4,10.3,0.8,1.7,6.4,4.5,532223,1.26,27068728,12188,24931676,26.2,64.1,9.7,2137052,6228977,0,24890465,22354620,10065,57,6.4,5,10.4,21.2,12748495,5740,41.8,13.3,6,1.1,4.7,0.4,3.1,2.1,0.2,27.4,"1,600 to 2,999",Independent Town,"$530,196 to < $559,445",$1.1701 to under $1.3141
SEALY ISD,008902,008 AUSTIN,06,Not Rated: Declared State of Disaster,4,2796,7.8,51.6,36.6,0.2,0.9,0,2.9,55.9,15.8,11.2,15.6,28.9,5.2,95.4,1.6,90.7,93.4,98.1,175,144,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60,35.2,1027,19.6,364.7,204.8,1.9,4,7.3,56.1,10.9,19.7,107287,73409,65298,54829,26.1,7.7,13.7,33.1,11.2,15.1,14,5.9,15.1,78.6,0,0,0,0.5,62.8,11.4,3.7,8.9,6,7.3,472000,1.39,32910195,11963,28787924,30.5,57.4,12.1,4122271,4500000,0,35610801,28890692,10502,56.1,6.8,5.6,12,19.6,16196599,5888,40,15.9,7,0.6,4.1,0.3,3.2,2.9,0,26.1,"1,600 to 2,999",Other Central City Suburban,"$450,515 to < $472,586",$1.3141 to under $1.4301
BRAZOS ISD,008903,008 AUSTIN,06,Not Rated: Declared State of Disaster,4,849,9.2,51.7,36.3,0,0.4,0,2.5,64.4,17.6,14.4,16.3,30,4.4,96.7,0.4,95.3,100,91.4,41,40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,61,40,1027,-1,126.3,64.1,2.1,3.6,2.6,50.8,0,41,85407,71778,63887,50872,28.8,6.7,13.2,35.4,11.8,16.1,36.4,6.1,9.9,79.4,0,0,0,4.7,78.5,5.7,4.7,0,7.8,3.2,339987,1.44,11310364,13710,10054487,53.5,36.2,10.4,1255877,4060380,0,10699060,8740327,10594,51.9,7.2,6.3,11.8,22.8,4537539,5500,35.1,10.9,8.9,3.1,3.9,2.3,5.1,1.3,0,29.4,500 to 999,Rural,"$337,807 to < $360,988",$1.4301 and over
MULESHOE ISD,009901,009 BAILEY,17,Not Rated: Declared State of Disaster,5,1400,0.6,86.3,12.1,0,0.6,0.1,0.3,85.4,27.8,13.9,27.6,26.1,1.9,95.7,0.3,100,100,100,98,93,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,98,17.7,901,18.5,215.4,111.4,1.9,3.2,7,51.7,17.5,18.7,104800,75500,53368,47667,41.7,6.5,12.6,38.7,11.2,18.9,24.9,0,24.2,74,0.9,0,0,0.9,63.3,9.5,13.6,4.1,6.2,3.3,187879,1.34,18807000,13301,17744700,61.2,22.3,16.5,1062300,6265167,0,18001039,16183678,11445,57.3,6.6,4.9,11.1,20,9275022,6559,34.4,12.6,15.4,1.8,4.6,0.2,3.7,1.4,0,26.1,"1,000 to 1,599",Non-metropolitan Stable,"$178,741 to < $225,013",$1.3141 to under $1.4301
MEDINA ISD,010901,010 BANDERA,20,Not Rated: Declared State of Disaster,1,315,2.9,27.9,65.7,0,0,0,3.5,62.9,1.9,16.5,1.3,31.7,9.2,95.4,0.9,96.2,100,90.9,24,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.8,11.8,987,-1,71.2,32,3,0.3,8.1,44.9,3.8,39.9,93549,72800,50043,46476,13.8,4.4,9.8,37,14.4,14,19.5,0,9,87.9,0,0,0,3.1,67,8.9,7.2,0,9.5,7.4,787369,1.23,4772885,15598,4115433,24.3,66.2,9.5,657452,461787,0,8650827,4122340,13472,49.5,11,6.3,13.1,20.1,2038356,6661,34.6,10.1,9,0.2,5.1,0.2,4.6,0.8,0.8,34.6,Under 500,Rural,"$697,496 to < $814,022",$1.1701 to under $1.3141
BANDERA ISD,010902,010 BANDERA,20,Not Rated: Declared State of Disaster,4,2286,0.2,34.3,62.3,0.2,0.4,0,2.6,49.4,4.7,14,4.5,34.2,5,94.8,2.0,90.6,89.6,93.3,129,105,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70.5,50.5,1077,23.5,300.1,149.2,1.3,3.7,6.5,49.7,10.7,28,115644,79396,62473,53115,19.7,7.6,15.3,29,12.8,25.5,21.7,2,14.6,82.7,0,0.7,0,0,74.4,8.8,7.3,0.2,5,4.2,670957,1.17,25201210,11301,21776245,8.2,80.3,11.5,3424965,7102236,0,23043375,20833713,9342,52,6.7,5.3,11.4,24.6,10839109,4861,35.9,12.1,9.8,0.3,5.3,0.4,3.6,2.3,0.3,30,"1,600 to 2,999",Major Suburban,"$636,179 to < $697,496",Under $1.1701
BASTROP ISD,011901,011 BASTROP,13,Not Rated: Declared State of Disaster,14,11382,3.5,69.3,23.6,0.2,0.5,0.1,2.9,69.5,31,11.6,30.1,27.2,6.6,94.6,0.4,96.8,97.2,96.6,751,558,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.2,41.9,1040,19.8,1217.8,708.6,1.3,3.5,12.3,58.2,16.5,8.2,113822,83564,61138,52737,32.3,9.3,16.1,42.3,10.8,22.3,22.7,5.1,19.4,72.6,0.3,0.8,0.1,1.7,51.7,15.3,8.9,9.2,4.7,10.2,313370,1.441,123960055,11225,106800195,45.2,41,13.8,17159860,18374883,0,119112379,104152991,9432,57.4,4.2,4.9,10.1,23.5,59754201,5411,41.4,15.8,8.4,1.4,2.7,0.4,1.5,1.1,0.7,26.6,"10,000 to 24,999",Independent Town,"$288,727 to < $317,442",$1.4301 and over
ELGIN ISD,011902,011 BASTROP,13,Not Rated: Declared State of Disaster,7,4556,10.4,70.2,16.5,0.1,0.3,0.1,2.4,77.9,34.5,10.7,38.2,33.3,8.4,94.5,1.8,93.6,93.9,95.8,319,294,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,85.6,16.1,900,19,667.4,296.8,1.7,3.4,12.1,44.5,11.2,27.1,111608,77551,65409,53680,47.5,6.8,15.4,55.7,7.5,21.9,31.9,7.9,28.2,62.5,0.7,0.3,0,0.3,61.4,11,3.8,17.4,5.4,1.1,270308,1.54,59162698,13331,50030245,48.4,36.6,15,9132453,15594397,0,60067282,46541069,10487,51,10,5.9,11.3,21.8,23722050,5345,40.8,11.6,8.3,1.1,3.5,0.6,2.4,1.8,2.3,27.8,"3,000 to 4,999",Non-metropolitan Stable,"$266,163 to < $288,727",$1.4301 and over
SMITHVILLE ISD,011904,011 BASTROP,13,Not Rated: Declared State of Disaster,4,1853,7.2,33.7,54.1,0.3,0.6,0,4,54,7.5,12.5,7.3,23.5,7.4,95.5,1.2,96.4,96.6,96.2,137,101,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60.6,51.8,1069,21.5,265.6,136.9,1.9,2.9,7,51.6,14.3,22.4,100989,73316,59022,51304,17.7,7,13.5,42.2,10.9,21.4,22,5.5,8,83.6,0,0,0,2.9,75.5,12.7,6.3,0,4.9,0.6,437673,1.43,22147813,12304,19936208,35.8,53,11.2,2211605,5587566,0,36156288,18906802,10504,53.2,7,5.5,12.8,21.4,10060931,5589,42.2,14,6.2,0.2,2.7,0.2,3.1,0.9,1.4,29.1,"1,600 to 2,999",Non-metropolitan Stable,"$407,429 to < $450,515",$1.3141 to under $1.4301
MCDADE ISD,011905,011 BASTROP,13,Not Rated: Declared State of Disaster,3,365,1.4,50.7,46.3,0,0,0.3,1.4,55.1,19.5,11.2,24.4,23.3,11.2,96.3,0.0,.,.,.,7,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.1,-1,-1,.,67.3,34.1,2.2,5,3,50.8,13,26,86483,63690,51468,44697,23.8,5.4,10.7,52.7,7.5,9.2,41.1,2.9,8.8,85.4,2.9,0,0,0,90.3,2.2,0,0,7.5,0,237648,1.105,4375398,11454,4233800,62,28.7,9.3,141598,950063,0,4472332,3960976,10369,50.4,15,5.6,9.6,19.4,1997529,5229,42.2,8.1,7.1,0.2,3.3,0.3,2.5,0.1,3.2,33.2,Under 500,Non-metropolitan Fast Growing,"$225,013 to < $266,163",Under $1.1701
SEYMOUR ISD,012901,012 BAYLOR,09,Not Rated: Declared State of Disaster,3,576,1.4,21.5,70.1,0,0.3,0,6.6,59.7,0.5,12.2,0.5,41.3,3.3,95.8,0.6,94.7,97.3,97.9,35,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,13.2,-1,18.5,92.8,49.5,1.1,3.5,6,53.3,11.7,24.4,100000,72686,59279,50875,10.6,6.2,11.6,23.6,14.6,7.4,15.2,2,3.9,94.1,0,0,0,0,82,5.2,1.5,0,11.4,0,321572,1.12,7589116,13040,7170724,57.9,35.2,6.9,418392,4444020,0,7486782,7154573,12293,52.4,8.6,5.8,10.7,22.5,3751001,6445,37.6,4.3,16,0.1,6.6,0.2,5.5,0.8,0,29,500 to 999,Rural,"$317,442 to < $337,807",Under $1.1701
ST MARY'S ACADEMY CHARTER SCHOOL,013801,013 BEE,02,Not Rated: Declared State of Disaster,1,429,1.9,79.5,14.7,0,2.3,0,1.6,73,1.9,8.6,1.9,0,9.1,96.3,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,75.8,25.8,2.3,2.4,10.9,34,23.2,27.3,87262,62358,62611,49887,58.3,5.7,16.6,34.2,13.5,10.8,24.9,0,32.3,63.9,0,3.8,0,0,74.4,3.8,19.9,0.9,0,0.9,0,0,4896866,11388,4896866,85,2.2,12.8,0,0,293926,4882314,4822768,11216,52.2,15.9,4.5,12.7,14.8,2515831,5851,47.2,5.7,12.1,0.1,0,0.4,0,0,0,34.5,Under 500,Charters,Non-taxing entities,Non-taxing entities
BEEVILLE ISD,013901,013 BEE,02,Not Rated: Declared State of Disaster,7,3218,2.4,83.5,12.6,0,0.2,0.1,1.1,88.4,2.5,11.9,2.2,37.4,4.4,93.2,2.5,93.7,93.2,91.4,257,219,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.1,16.3,942,18.1,447.9,203.8,1.1,3.3,7.2,45.5,13.5,29.3,116824,87718,68227,54111,68.2,7.2,15.8,42,10.0,17.5,24.4,1.8,49.6,45.3,0.5,2.8,0,0,85.1,5.9,0,0,8.5,0.5,225544,1.205,34852492,10545,34077273,54.7,30.9,14.4,775219,9922080,0,34048658,30988136,9376,55.4,7.5,5.8,11.9,19.4,17178939,5198,41.3,11.5,11.1,0.4,4,0.2,3,0.4,0.9,27.2,"3,000 to 4,999",Independent Town,"$225,013 to < $266,163",$1.1701 to under $1.3141
PAWNEE ISD,013902,013 BEE,02,Not Rated: Declared State of Disaster,1,522,4,80.3,13,0,0.6,0,2.1,84.7,3.8,2.3,3.4,0,1.3,95.9,.,.,.,.,.,.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,.,.,.,.,97.4,32.1,2.1,3.1,7.8,33,42,12.1,84544,87092,66274,48696,43.3,5.4,16.3,65.7,5.4,15.6,35.4,3,12.5,84.5,0,0,0,0,36.2,2.5,61.3,0,0,0,1027534,1.25,5280075,16604,4446625,5.3,88.9,5.8,833450,2778158,0,5101221,4289446,13489,67.6,8.5,4.6,7.6,11.8,2898047,9113,20.5,4.2,10.7,0,0,0.1,1.2,0,40.8,22.5,500 to 999,Non-metropolitan Fast Growing,"$847,341 and over",$1.1701 to under $1.3141
PETTUS ISD,013903,013 BEE,02,Not Rated: Declared State of Disaster,2,393,1.3,68.2,29.5,0.3,0,0,0.8,62.3,0,11.5,0,39.7,3.6,95.4,0.0,88.1,78.9,87.1,38,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,55.3,19,1017,18.1,84.9,41.4,2.4,2.5,5.7,48.7,17.4,23.3,87192,88299,55528,53422,51.2,4.6,9.5,35.2,10.9,12.3,11.8,0,30.9,66.7,2.4,0,0,0,84.1,9,0,0,6.9,0,1322801,1.385,7635935,18312,5870736,19.9,70.8,9.3,1765199,1738687,0,10930738,6417847,15391,47.3,12.7,6.4,15,18.6,3034160,7276,33.9,12.4,6.5,0,5.5,0.2,4.5,0.5,1.3,35.3,Under 500,Rural,"$847,341 and over",$1.3141 to under $1.4301
SKIDMORE-TYNAN ISD,013905,013 BEE,02,Not Rated: Declared State of Disaster,3,826,0.8,69.5,26.6,0.5,0.8,0.4,1.3,63.7,2.3,12,2.1,34.3,7.3,95.2,0.0,98.5,100,96.7,69,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43.5,46.7,1107,21.5,123.3,63.8,3.2,2.4,4.9,51.8,10.5,27,88221,79656,60164,51294,57.6,6.7,12.9,29.7,13.0,17,14.1,3.1,40.6,54.7,0,1.6,0,0,82.4,6.2,3.1,0,8.3,0,179888,1.509,11244188,13613,9781556,70.2,20.3,9.5,1462632,2380465,0,10269931,8554558,10357,54.1,6.4,4.5,11.9,23.2,4628827,5604,38.1,11.3,7.6,0.2,5.8,1.2,5.1,1.5,0,29.2,500 to 999,Rural,"$178,741 to < $225,013",$1.4301 and over
RICHARD MILBURN ALTER HIGH SCHOOL,014801,014 BELL,20,Not Rated: Declared State of Disaster,9,1910,13.9,64.6,19.5,0.3,0.1,0.1,1.5,75.4,6.6,12.6,6.4,46,0,82.8,19.6,26.7,37.5,44.7,477,324,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14,1.5,882,16.5,184.3,72.6,1.6,8.9,19,39.4,19.2,11.9,99957,75387,61508,53936,46.6,10.4,26.3,66.6,8.1,17.1,44.6,10.9,19.9,67.9,0,0,0,1.4,75.2,11.1,0,5.5,8.2,0,0,0,18793479,9643,18793479,90.5,0.7,8.7,0,0,116539,17567298,17294202,8873,37.9,12.3,14.1,14.9,20.8,6557370,3364,41.6,8.8,13.6,0.2,3.1,0,0,4.3,0,28.5,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
